Title,Price,Location,Rooms,Area,URL,DateScraped,Page,UsefulArea,GrossArea,ConstructionYear,EnergeticCert,Enterprise,Bathrooms,Description
Apartamento T3 Remodelado Junto à praia,328 500 €,"Póvoa de Varzim, Beiriz e Argivai, Póvoa de Varzim, Porto",T3,117.0,https://www.imovirtual.com/pt/anuncio/apartamento-t3-remodelado-junto-a-praia-ID1g6v7,2025-01-26,1,,,,,,,
Prédio para recuperar junto ao Largo Rainha D.Leonor,375 000 €,"Rua São João de Deus, Nossa Senhora do Pópulo, Coto e São Gregório, Caldas da Rainha, Leiria",T9+,350.0,https://www.imovirtual.com/pt/anuncio/predio-para-recuperar-junto-ao-largo-rainha-d-leonor-ID1g3ce,2025-01-26,4,,,,,,,
"Novo T3+Office, varandas, garagem BOX 2 carros Madalena / Gaia / Porto",379 000 €,"Rua Escola de Maninho, Maninho - Baviera, Madalena, Vila Nova de Gaia, Porto",T3,130.9,https://www.imovirtual.com/pt/anuncio/novo-t3-office-varandas-garagem-box-2-carros-madalena-gaia-porto-ID1ekMz,2025-01-26,4,,,,,,,
"Apartamento T2 REMODELADO como NOVO, Valongo",205 000 €,"Rua António Rodrigues Vale, Valongo, Valongo, Porto",T2,95.0,https://www.imovirtual.com/pt/anuncio/apartamento-t2-remodelado-como-novo-valongo-ID1g4qP,2025-01-26,4,,,,,,,
"Apartamento Premium T1+1 | Paranhos, entre Arca d’Água e Carvalhido",265 000 €,"Travessa Silva Porto, Arca d'Água - Campo Lindo - Vale Formoso, Paranhos, Porto, Porto",T1,99.73,https://www.imovirtual.com/pt/anuncio/apartamento-premium-t1-1-paranhos-entre-arca-dagua-e-carvalhido-ID1g6ts,2025-01-26,5,,,,,,,
Apartamentos T3 em Construção,285 000 €,"Rua do Colégio Dom Nuno, Póvoa de Varzim, Beiriz e Argivai, Póvoa de Varzim, Porto",T3,149.0,https://www.imovirtual.com/pt/anuncio/apartamentos-t3-em-construcao-ID1fgqo,2025-01-26,5,,,,,,,
T2 com Vista Mar,530 000 €,"Rua Bombeiros, Quarteira, Loulé, Faro",T2,77.5,https://www.imovirtual.com/pt/anuncio/t2-com-vista-mar-ID1fcZc,2025-01-26,5,,,,,,,
T3 NOVO - Magnólia City Park,415 000 €,"Avenida João Silva Pinto, Parque da Lavandeira - Sardão, Oliveira do Douro, Vila Nova de Gaia, Porto",T3,115.0,https://www.imovirtual.com/pt/anuncio/t3-novo-magnolia-city-park-ID1fQlK,2025-01-26,2,,,,,,,
Apartamento T2 Novo na Póvoa de Varzim,290 000 €,"Rua Capitão Diogo Dias de São Pedro, Póvoa de Varzim, Beiriz e Argivai, Póvoa de Varzim, Porto",T2,90.0,https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-na-povoa-de-varzim-ID1g4Wd,2025-01-26,2,,,,,,,
"Apartamento T3 com duas varandas, elevador e arrecadação no Montijo",279 900 €,"Montijo e Afonsoeiro, Montijo, Setúbal",T3,104.0,https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-duas-varandas-elevador-e-arrecadacao-no-montijo-ID1g4FW,2025-01-26,2,,,,,,,
