,URL,Titles,Price,Location,Rooms,Areas,Bathrooms,Listing Type
0,https://www.imovirtual.com/pt/anuncio/lisboa-sta-maria-maior-vende-se-apartamento-t1-mobilado-ID19ree.html#ab04badaa0,Lisboa Sta Maria Maior vende-se Apartamento T1 Mobilado,215 000 €,"Santa Maria Maior, Lisboa",T1,30 m²,1,
1,https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-terraco-ID1btTV.html#ab04badaa0,Apartamento T3 com terraço,520 000 €,"Ericeira, Mafra, Lisboa",T3,151 m²,2,Usado
2,https://www.imovirtual.com/pt/anuncio/apartamento-t2-na-cavaleira-ID1bFAy.html#ab04badaa0,Apartamento T2 na Cavaleira,225 000 €,"Algueirão-Mem Martins, Sintra, Lisboa",T2,95 m²,1,Usado
3,https://www.imovirtual.com/pt/anuncio/t4-totalmente-remodelado-com-vista-rio-ID1bqyY.html#ab04badaa0,T4 totalmente remodelado com vista rio,520 000 €,"Carcavelos e Parede, Cascais, Lisboa",T4,128 m²,2,
4,https://www.imovirtual.com/pt/anuncio/apartamento-t1-novo-em-condominio-fechado-de-excelencia-ID1bTvZ.html#ab04badaa0,"Apartamento T1 novo, em condomínio fechado de excelência",179 000 €,"Braga (São José de São Lázaro e São João do Souto), Braga",T1,55 m²,1,Novo
5,https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-121m2-no-barreiro-ID1bXy7.html#ab04badaa0,Apartamento T3 com 121m2 no Barreiro,212 000 €,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T3,121 m²,3,
6,https://www.imovirtual.com/pt/anuncio/apartamento-ID1bXy6.html#ab04badaa0,Apartamento,247 000 €,"Alto do Seixalinho, Santo André e Verderena, Barreiro, Setúbal",T3,117 m²,3,
7,https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-v-nova-de-gaia-varanda-2023-como-novo-ID1bPBi.html#ab04badaa0,Apartamento T1+1 | V Nova de Gaia | Varanda | 2023 | Como NOVO,185 000 €,"Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",T1,65 m²,1,Novo
8,https://www.imovirtual.com/pt/anuncio/apartamento-t2-na-zona-do-hospital-s-joao-ID1b2Z3.html#ab04badaa0,Apartamento T2 na zona do Hospital S. João,239 000 €,"São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",T2,75 m²,1,Usado
9,https://www.imovirtual.com/pt/anuncio/apartamento-t1-empreendimento-asprela-easy-em-paranhos-ID19VIn.html#ab04badaa0,"Apartamento T1, Empreendimento Asprela Easy, em Paranhos",225 000 €,"Paranhos, Porto",T1,60 m²,1,Em construção
10,https://www.imovirtual.com/pt/anuncio/apartamento-t1kit-no-asprela-domus-iii-ID1bTCG.html#ab04badaa0,Apartamento T1Kit no Asprela Domus III,235 020 €,"Paranhos, Porto",T1,62 m²,1,Novo
11,https://www.imovirtual.com/pt/anuncio/apartamento-t1-novo-paranhos-porto-ID1bW9X.html#ab04badaa0,"Apartamento T1 Novo - Paranhos, Porto",210 000 €,"Paranhos, Porto",T1,59 m²,1,Novo
12,https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-boas-areas-2-casas-de-banho-ar-condicionado-gara-ID1bXGQ.html#ab04badaa0,"Apartamento T3 com boas áreas, 2 casas de banho, ar condicionado, gara",317 600 €,"Almancil, Loulé, Faro",T3,"104,68 m²",2,Usado
13,https://www.imovirtual.com/pt/anuncio/apartamento-t2-matriz-loja-comercio-ID1bXka.html#ab04badaa0,Apartamento T2 - Matriz Loja - Comércio,94 500 €,"Valongo, Porto",T2,"70,40 m²",2,
14,https://www.imovirtual.com/pt/anuncio/apartamento-t2-rio-tinto-garagem-box-ID1bXiC.html#ab04badaa0,Apartamento T2 - Rio Tinto - Garagem BOX,249 000 €,"Rio Tinto, Gondomar, Porto",T2,100 m²,2,Usado
15,https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-90-m2-nas-patameiras-odivelas-ID1brX8.html#ab04badaa0,"Apartamento T2 com 90 m2 nas Patameiras, Odivelas",172 000 €,"Odivelas, Lisboa",T2,"67,71 m²",1,Usado
